SEC,STATE,GSR,Delta,Theta,Low_Alpha,High_Alpha,Low_Beta,High_Beta,Low_Gamma,Mid_Gamma
201.5,3,513,65319,14278,35802,23638,30490,17501,2470,266751
202.0,3,512,65319,14278,35802,23638,30490,17501,2470,266751
202.5,3,517,850288,77796,23093,101192,22209,16441,7678,236941
203.0,3,519,850288,77796,23093,101192,22209,16441,7678,236941
203.5,3,516,611238,171437,14074,14917,20224,28865,3504,252835
204.0,3,522,611238,171437,14074,14917,20224,28865,3504,252835
204.5,3,506,211274,30297,6998,8438,13936,15652,9048,259889
205.0,3,514,211274,30297,6998,8438,13936,15652,9048,259889
205.5,3,512,1059798,71935,8124,11919,10819,14740,4897,276122
206.0,3,512,1059798,71935,8124,11919,10819,14740,4897,276122
206.5,3,522,139194,5841,14023,2165,15108,85026,5351,284678
207.0,3,518,139194,5841,14023,2165,15108,85026,5351,284678
207.5,3,523,101142,14693,8477,10562,16058,27234,5653,278416
208.0,3,512,101142,14693,8477,10562,16058,27234,5653,278416
208.5,3,515,36253,29324,14061,13111,24021,59255,2473,277906
209.0,3,517,36253,29324,14061,13111,24021,59255,2473,277906
209.5,3,514,231020,33657,18876,12351,36437,60450,2855,234435
210.0,3,527,231020,33657,18876,12351,36437,60450,2855,234435
210.5,3,521,70301,12710,3116,4103,4857,13595,708,54028
211.0,3,523,70301,12710,3116,4103,4857,13595,708,54028
211.5,3,524,50943,10624,7993,5169,1045,2164,267,15859
212.0,3,513,50943,10624,7993,5169,1045,2164,267,15859
212.5,3,520,785040,51050,31555,5788,18892,34171,6414,251770
213.0,3,518,785040,51050,31555,5788,18892,34171,6414,251770
213.5,3,526,17328,9171,5560,3956,10475,76255,3813,250132
214.0,3,521,17328,9171,5560,3956,10475,76255,3813,250132
214.5,3,526,58522,20586,2494,1755,649,2820,280,15597
215.0,3,523,58522,20586,2494,1755,649,2820,280,15597
215.5,3,517,9803,8687,5895,6703,16688,44889,4010,250872
216.0,3,521,9803,8687,5895,6703,16688,44889,4010,250872
